Name,Price,Seller,Link
iPhone 15 Plus Blue 128GB,"S$1,500",zvessel,https://www.carousell.sg/p/iphone-15-plus-blue-128gb-1261252440/?t-id=eqsCFUCBaG_1697885612758&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=wdz65dsWI4pd6leM&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=0
iPhone 15 Pro Max Natural Titanium 256GB,"S$1,900",bad_habits,https://www.carousell.sg/p/iphone-15-pro-max-natural-titanium-256gb-1261251808/?t-id=eqsCFUCBaG_1697885612758&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=wdz65dsWI4pd6leM&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=1
iPhone 15 Black 128GB,"S$1,200",lalvinl,https://www.carousell.sg/p/iphone-15-black-128gb-1261251799/?t-id=eqsCFUCBaG_1697885612758&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=wdz65dsWI4pd6leM&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=2
iPhone 15 Pro Max Natural Titanium 256GB,"S$1,950",cherrysblossoms,https://www.carousell.sg/p/iphone-15-pro-max-natural-titanium-256gb-1261250010/?t-id=eqsCFUCBaG_1697885612758&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=wdz65dsWI4pd6leM&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=3
iPhone 15 Plus Blue 128GB,"S$1,298",anh.djeo,https://www.carousell.sg/p/iphone-15-plus-blue-128gb-1261247707/?t-id=eqsCFUCBaG_1697885612758&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=wdz65dsWI4pd6leM&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=5
iPhone 15 Pro Black Titanium 128GB,"S$1,600",rainbowthriftstore,https://www.carousell.sg/p/iphone-15-pro-black-titanium-128gb-1261248426/?t-id=eqsCFUCBaG_1697885612758&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=wdz65dsWI4pd6leM&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=6
iPhone 15 Black 128GB,"S$1,150",chriscolman91,https://www.carousell.sg/p/iphone-15-black-128gb-1261243292/?t-id=eqsCFUCBaG_1697885612758&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=wdz65dsWI4pd6leM&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=7
iPhone 15 Pro Max Natural Titanium 256GB,"S$1,895",krdeen,https://www.carousell.sg/p/iphone-15-pro-max-natural-titanium-256gb-1261246755/?t-id=eqsCFUCBaG_1697885612758&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=wdz65dsWI4pd6leM&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=8
iPhone 15 Pro Black Titanium 256GB,"S$1,600",joy2x2019,https://www.carousell.sg/p/iphone-15-pro-black-titanium-256gb-1261243605/?t-id=eqsCFUCBaG_1697885612758&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=wdz65dsWI4pd6leM&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=9
iPhone 15 Pro Max Blue Titanium 512GB,"S$2,280",chasu0430,https://www.carousell.sg/p/iphone-15-pro-max-blue-titanium-512gb-1260437030/?t-id=eqsCFUCBaG_1697885612758&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=wdz65dsWI4pd6leM&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=10
iPhone 15 Pro Max Blue Titanium 512GB,"S$2,100",bubblymabbly,https://www.carousell.sg/p/iphone-15-pro-max-blue-titanium-512gb-1261061087/?t-id=eqsCFUCBaG_1697885612758&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=wdz65dsWI4pd6leM&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=11
iPhone 15 Black 128GB,"S$1,125",lit.store,https://www.carousell.sg/p/iphone-15-black-128gb-1261235671/?t-id=eqsCFUCBaG_1697885612758&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=wdz65dsWI4pd6leM&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=13
