Name,Price,Seller,Link
iPhone 15 Pro Blue Titanium 128GB,"S$1,485",sellingthingsonlyla,https://www.carousell.sg/p/iphone-15-pro-blue-titanium-128gb-1261866009/?t-id=47LtR41w3w_1698142726416&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=pVQKpvAOPsezbDOu&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=0
iPhone 15 Yellow 256GB,"S$1,270",alan8587,https://www.carousell.sg/p/iphone-15-yellow-256gb-1261867082/?t-id=47LtR41w3w_1698142726416&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=pVQKpvAOPsezbDOu&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=1
iPhone 15 Pro Blue Titanium 128GB,"S$1,450",jh9090,https://www.carousell.sg/p/iphone-15-pro-blue-titanium-128gb-1261865172/?t-id=47LtR41w3w_1698142726416&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=pVQKpvAOPsezbDOu&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=2
iPhone 15 Pro Max Natural Titanium 256GB,"S$1,950",more-cle,https://www.carousell.sg/p/iphone-15-pro-max-natural-titanium-256gb-1261857764/?t-id=47LtR41w3w_1698142726416&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=pVQKpvAOPsezbDOu&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=3
iPhone 15 Plus Blue 128GB,"S$1,350",crcmkzt2qp13580,https://www.carousell.sg/p/iphone-15-plus-blue-128gb-1261864663/?t-id=47LtR41w3w_1698142726416&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=pVQKpvAOPsezbDOu&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=5
iPhone 15 Pro Max Natural Titanium 256GB,"S$1,949",ymmot93,https://www.carousell.sg/p/iphone-15-pro-max-natural-titanium-256gb-1261857149/?t-id=47LtR41w3w_1698142726416&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=pVQKpvAOPsezbDOu&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=6
iPhone 15 Blue 128GB,"S$1,150",eric.goh4444,https://www.carousell.sg/p/iphone-15-blue-128gb-1261849995/?t-id=47LtR41w3w_1698142726416&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=pVQKpvAOPsezbDOu&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=7
iPhone 15 Pro Max Natural Titanium 256GB,"S$1,830",mobil_empire,https://www.carousell.sg/p/iphone-15-pro-max-natural-titanium-256gb-1261255336/?t-id=47LtR41w3w_1698142726416&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=pVQKpvAOPsezbDOu&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=8
iPhone 15 Pro Blue Titanium 128GB,"S$1,609",getreal,https://www.carousell.sg/p/iphone-15-pro-blue-titanium-128gb-1261854138/?t-id=47LtR41w3w_1698142726416&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=pVQKpvAOPsezbDOu&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=9
iPhone 15 Pro Max White Titanium 1 TB,"S$2,480",purples83,https://www.carousell.sg/p/iphone-15-pro-max-white-titanium-1-tb-1261865355/?t-id=47LtR41w3w_1698142726416&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=pVQKpvAOPsezbDOu&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=10
iPhone 15 Pro Max Natural Titanium 512GB,"S$1,800",bestseller1011,https://www.carousell.sg/p/iphone-15-pro-max-natural-titanium-512gb-1261864969/?t-id=47LtR41w3w_1698142726416&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=pVQKpvAOPsezbDOu&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=11
iPhone 15 Pro Max Blue Titanium 256GB,"S$1,750",leekean704,https://www.carousell.sg/p/iphone-15-pro-max-blue-titanium-256gb-1261863041/?t-id=47LtR41w3w_1698142726416&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=pVQKpvAOPsezbDOu&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=13
iPhone 15 Blue 128GB,"S$1,250",mister_man,https://www.carousell.sg/p/iphone-15-blue-128gb-1261818512/?t-id=47LtR41w3w_1698142726416&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=pVQKpvAOPsezbDOu&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=14
iPhone 15 Pro Natural Titanium 128GB,"S$1,550",joshllll,https://www.carousell.sg/p/iphone-15-pro-natural-titanium-128gb-1261826080/?t-id=47LtR41w3w_1698142726416&t-referrer_browse_type=search_results&t-referrer_page_type=search&t-referrer_request_id=pVQKpvAOPsezbDOu&t-referrer_search_query=iphone%2015&t-referrer_search_query_source=direct_search&t-referrer_sort_by=popular&t-tap_index=15
